код;название;код родит. системы;комментарий
24-24-00;АВАРИЙНАЯ СИСТЕМА ПЕРЕМЕННОГО ТОКА;24-00-00;
24-25-00;СТАТИЧЕСКИЙ ПРЕОБРАЗОВАТЕЛЬ;24-00-00;
24-31-00;ОСНОВНАЯ СИСТЕМА ПОСТОЯННОГО ТОКА;24-00-00;
24-32-00;АВАРИЙНАЯ СИСТЕМА ПОСТОЯННОГО ТОКА;24-00-00;
24-41-00;СИСТЕМА АЭРОДРОМНОГО ПИТАНИЯ ПЕРЕМЕННЫМ ТОКОМ;24-00-00;
24-61-00;СИСТЕМА ПОДКЛЮЧЕНИЯ ПОТРЕБИТЕЛЕЙ ПОСТОЯННОГО ТОКА;24-00-00;
25-15-00;ДОПОЛНИТЕЛЬНОЕ ОБОРУДОВАНИЕ КАБИНЫ ЭКИПАЖА;25-00-00;
25-29-00;СИСТЕМА ЭЛЕКТРИЧЕСКОГО ПИТАНИЯ ПРИБОРОВ ПАССАЖИРОВ;25-00-00;
25-33-00;ОБОРУДОВАНИЕ КУХОНЬ;25-00-00;
25-43-00;ОБОРУДОВАНИЕ ТУАЛЕТОВ;25-00-00;
25-65-00;СИСТЕМА АВАРИЙНОГО РАДИОМАЯКА;25-00-00;
26-10-00;СРЕДСТВА ПОЖАРНОЙ СИГНАЛИЗАЦИИ;26-00-00;
26-11-00;СИСТЕМА СИГНАЛИЗАЦИИ ПОЖАРА И ПЕРЕГРЕВА В ГОНДОЛАХ ДВИГАТЕЛЕЙ;26-00-00;
26-12-00;СИСТЕМА СИГНАЛИЗАЦИИ ПОЖАРА В ОТСЕКЕ ВСУ;26-00-00;
26-13-00;СИСТЕМА СИГНАЛИЗАЦИИ ОБНАРУЖЕНИЯ ДЫМА В ТУАЛЕТАХ;26-00-00;
26-14-00;СИСТЕМА СИГНАЛИЗАЦИИ ОБНАРУЖЕНИЯ ДЫМА В БАГАЖНО-ГРУЗОВЫХ ОТСЕКАХ;26-00-00;
26-21-00;СИСТЕМА ПОЖАРОТУШЕНИЯ ДВИГАТЕЛЕЙ;26-00-00;
26-22-00;СИСТЕМА ПОЖАРОТУШЕНИЯ ВСУ;26-00-00;
26-24-00;СИСТЕМА ПОЖАРОТУШЕНИЯ БАГАЖНО-ГРУЗОВЫХ ОТСЕКОВ;26-00-00;
27-11-00;СИСТЕМА УПРАВЛЕНИЯ ЭЛЕРОНАМИ;27-00-00;
27-21-00;СИСТЕМА УПРАВЛЕНИЯ РУЛЕМ НАПРАВЛЕНИЯ;27-00-00;
27-31-00;СИСТЕМА УПРАВЛЕНИЯ РУЛЕМ ВЫСОТЫ;27-00-00;
27-41-00;СИСТЕМА УПРАВЛЕНИЯ СТАБИЛИЗАТОРОМ;27-00-00;
27-51-00;СИСТЕМА УПРАВЛЕНИЯ ЗАКРЫЛКАМИ;27-00-00;
