number;content
24-20-00-810-862;Электропроводка
24-20-00-810-862;Сервоклапан на привод-генераторе левом (15-X242)
24-20-00-810-862;Блок управления генератором левый (6-X242)
24-20-00-810-863;Привод-генератор левый (15-X242)
24-20-00-810-864;Привод-генератор левый (15-X242)
24-20-00-810-865;Электропроводка
24-20-00-810-865;Сервоклапан привод-генератора левого (15-X242)
24-20-00-810-865;Блок управления генератором левый (6-X242)
24-20-00-810-866;Блок управления генератором левый (6-X242)
24-20-00-810-867;Блок-концентратор данных (3-T314)
24-20-00-810-867;Привод-генератор левый (15-X242)
24-20-00-810-868;Блок управления генератором левый (6-X242)
24-20-00-810-869;Привод-генератор левый (15-X242)
24-20-00-810-870;Привод-генератор левый (15-X242)
24-20-00-810-871;Электропроводка
24-20-00-810-871;Привод-генератор левый (15-X242)
24-20-00-810-871;Блок управления генератором левый (6-X242)
24-20-00-810-872;Электропроводка
24-20-00-810-872;Трансформатор тока (101-X242)
24-20-00-810-872;Привод-генератор левый (15-X242)
24-20-00-810-872;Блок управления генератором левый (6-X242)
24-20-00-810-873;Электропроводка
24-20-00-810-874;Блок управления генератором левый (6-X242)
24-20-00-810-875;Отказ основной шины
24-20-00-810-876;Электропроводка
24-20-00-810-876;Блок управления генератором левый (6-X242)
24-20-00-810-877;Привод-генератор левый (15-X242)
24-20-00-810-877;Блок управления генератором левый (6-X242)
24-20-00-810-878;Отключен вручную привод-генератор левый (15-X242)
24-20-00-810-879;Разрыв цепи реле расцепителя K1-11 привод-генератора левого (15-X242)
24-20-00-810-879;Привод-генератор левый (15-X242)
24-20-00-810-879;Блок управления генератором левый (6-X242)
24-20-00-810-880;Электропроводка
24-20-00-810-881;Электропроводка
24-20-00-810-882;Электропроводка
24-20-00-810-883;Электропитание включено
24-20-00-810-883;Электропитание прервано
24-20-00-810-883;Блок управления генератором левый (6-Х242)
24-20-00-810-884;Электропроводка
24-20-00-810-884;Блок управления генератором левый (6-Х242)
24-20-00-810-885;Электропроводка
24-20-00-810-885;Блок управления генератором левый (6-Х242)
24-20-00-810-886;Электропроводка
24-20-00-810-886;Блок управления генератором левый (6-Х242)
24-20-00-810-887;Электропроводка
24-20-00-810-887;Блок управления генератором левый (6-Х242)
24-20-00-810-888;Электропроводка
24-20-00-810-888;Блок управления генератором левый (6-Х242)
24-20-00-810-889;Электропроводка
24-20-00-810-889;Блок управления генератором левый (6-Х242)
24-20-00-810-890;Электропроводка
24-20-00-810-890;Блок управления генератором левый (6-Х242)
24-20-00-810-890;Кнопка-табло FIRE на пульте пожарной защиты левого двигателя (7-F311)
24-20-00-810-891;Блок управления генератором левый (6-Х242)
24-20-00-810-892;Блок управления генератором левый (6-Х242)
24-20-00-810-893;Электропроводка
24-20-00-810-893;Блок управления генератором левый (6-Х242)
24-20-00-810-894;Электропроводка
24-20-00-810-894;Блок управления генератором левый (6-Х242)
24-20-00-810-895;Электропроводка
24-20-00-810-895;Блок управления генератором левый (6-Х242)
