Номер подработы,Обозначение,Фраза,Номер работы,Название,Порядок работ,Результат,Условие выполнения,Причины
24-20-00-810-810-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-810,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-810-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-810,Поиск и устранение неисправности:,,,,
24-20-00-810-810-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-810,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Низкое напряжение генератора на постоянных магнитах генератора левого двигателя,,,,,,,,
24-20-00-810-811-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-811,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-811-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-811,Поиск и устранение неисправности:,,,,
24-20-00-810-811-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-811,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отказ в управлении током сервоклапана привод‐генератора левого двигателя,,,,,,,,
24-20-00-810-812-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-812,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-812-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-812,Поиск и устранение неисправности:,,,,
24-20-00-810-812-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-812,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Цепь обнаружения сверхтоков сервоклапана привод‐генератора левого двигателя ошибочно активна,,,,,,,,
24-20-00-810-813-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-813,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-813-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-813,Поиск и устранение неисправности:,,,,
24-20-00-810-813-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-813,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отказ контроля частоты вращения левого двигателя,,,,,,,,
24-20-00-810-814-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-814,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-814-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-814,Поиск и устранение неисправности:,,,,
24-20-00-810-814-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-814,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Цепь определения состояния реле отключения кухонь ошибочно замкнута (для блока управления генератором левого двигателя),,,,,,,,
24-20-00-810-816-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-816,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-816-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-816,Поиск и устранение неисправности:,,,,
24-20-00-810-816-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-816,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отказ цифровой системы управления левым двигателем (для блока управления генератором левого двигателя),,,,,,,,
24-20-00-810-817-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-817,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-817-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-817,Поиск и устранение неисправности:,,,,
24-20-00-810-817-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-817,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отказ сигнализатора температуры масла привод‐генератора левого двигателя или цепи сигнализатора температуры или цепь определения состояния сигнализатора температуры ошибочно в состоянии высоко или низко,,,,,,,,
24-20-00-810-818-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-818,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-818-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-818,Поиск и устранение неисправности:,,,,
24-20-00-810-818-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-818,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Расцепление привод‐генератора и коробки приводов левого двигателя в результате срабатывания термической защиты,,,,,,,,
24-20-00-810-820-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-820,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-820-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-820,Поиск и устранение неисправности:,,,,
24-20-00-810-820-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-820,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Не срабатывание расцепления привод‐генератора и коробки приводов левого двигателя при термической защите привод‐генератора,,,,,,,,
24-20-00-810-821-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-821,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-821-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-821,Поиск и устранение неисправности:,,,,
24-20-00-810-821-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-821,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Цепь определения состояния выхода выдачи предупреждения отказа привод‐генератора левого двигателя ошибочно не активна,,,,,,,,
