Номер подработы,Обозначение,Фраза,Номер работы,Название,Порядок работ,Результат,Условие выполнения,Причины
24-22-00-710-801-15,4/А,Произведите контроль работоспособности привод‐генератора левого (15‐Х242),24-20-00-810-870-4,Контроль работоспособности привод‐генератора левого (15‐Х242),1,,,
24-20-00-810-870-4-А-1,4/А/(1),"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-870-4,Проверка наличия (отсутствия) признаков неисправности,2,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Поиск и устранение неисправности:,,,,,,,,
24-22-01-900-801-L,5/А,Произведите замену блока управления генератором левого (6‐Х242),24-20-00-810-870-5,Демонтаж и монтаж блока управления генератором левым (6‐X242),,,,Привод-генератор левый (15-X242)
,,,,,,,,
/*Подтверждение устранения неисправности,,,,,,,,
24-20-00-810-870-4,6/А,"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-870-6,Проверка наличия (отсутствия) признаков неисправности,,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
"/*Срабатывание дифференциальной защиты по току генератора левого двигателя, вызванное отказом блока трансформатора тока генератора ",,,,,,,,
/*Подтверждение неисправности,,,,,,,,
24-22-00-710-801-15,4/А,Произведите контроль работоспособности привод‐генератора левого (15‐Х242),24-20-00-810-871-4,Контроль работоспособности привод‐генератора левого (15‐Х242),1,,,
24-20-00-810-871-4-А-1,4/А/(1),"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-871-4,Проверка наличия (отсутствия) признаков неисправности,2,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Поиск и устранение неисправности:,,,,,,,,
24-20-00-810-871-5-А,5/А,Произведите проверку и ремонт электропроводки между блоком управления генератором левым (6‐X242) и привод‐генератором левым (15‐Х242),24-20-00-810-871-5,Проверка и ремонт электропроводки между блоком управления генератором левым (6‐X242) и привод‐генератором левым (15‐Х242),,,,Электропроводка
24-21-01-900-801-L,5/А/(1)/-,Произведите замену привод‐генератора левого (15‐X242),24-20-00-810-871-5,Демонтаж и монтаж привод‐генератора левого (15‐X242),,,,Привод-генератор левый (15-X242)
24-22-01-900-801-L,5/А/(а)/-,Произведите замену блока управления генератором левого (6‐Х242),24-20-00-810-871-5,Демонтаж и монтаж блока управления генератором левым (6‐X242),,,,Блок управления генератором левый (6-X242)
,,,,,,,,
/*Подтверждение устранения неисправности,,,,,,,,
24-20-00-810-871-4,6/А,"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-871-6,Проверка наличия (отсутствия) признаков неисправности,,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
"/*Срабатывание дифференциальной защиты по току генератора левого двигателя, вызванное отказом блока трансформатора тока ",,,,,,,,
/*Подтверждение неисправности,,,,,,,,
24-22-00-710-801-15,4/А,Произведите контроль работоспособности привод‐генератора левого (15‐Х242),24-20-00-810-872-4,Контроль работоспособности привод‐генератора левого (15‐Х242),1,,,
24-20-00-810-872-4-А-1,4/А/(1),"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-872-4,Проверка наличия (отсутствия) признаков неисправности,2,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Поиск и устранение неисправности:,,,,,,,,
24-20-00-810-872-5-А,5/А,Произведите проверку и ремонт электропроводки между блоком управления генератором левым (6‐X242) и трансформатором тока (101‐X242),24-20-00-810-872-5,Проверка и ремонт электропроводки между блоком управления генератором левым (6‐X242) и трансформатором тока (101‐X242),,,,Электропроводка
24-20-00-810-872-5-А-1,5/А/(1)/-,Произведите проверку и ремонт электропроводки между привод‐генератором левым (15‐Х242) и контактором К5‐26,24-20-00-810-872-5,Проверка и ремонт электропроводки между привод‐генератором левым (15‐Х242) и контактором К5‐26,,,,Электропроводка
24-22-05-900-801,5/А/(1)/(а)/-,Произведите замену трансформатора тока (101‐X242),24-20-00-810-872-5,Замена трансформатора тока (101‐X242),,,,Трансформатор тока (101-X242)
24-21-01-900-801-L,5/А/(1)/(б)/-,Произведите замену привод‐генератора левого (15‐X242),24-20-00-810-872-5,Демонтаж и монтаж привод‐генератора левого (15‐X242),,,,Привод-генератор левый (15-X242)
24-22-01-900-801-L,5/А/(1)/(в)/-,Произведите замену блока управления генератором левого (6‐Х242),24-20-00-810-872-5,Демонтаж и монтаж блока управления генератором левым (6‐X242),,,,Блок управления генератором левый (6-X242)
,,,,,,,,
/*Подтверждение устранения неисправности,,,,,,,,
24-20-00-810-872-4,6/А,"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-872-6,Проверка наличия (отсутствия) признаков неисправности,,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
"/*Срабатывание дифференциальной защиты по току, вызванное наличием КЗ генератора или фидера генератора левого двигателя ",,,,,,,,
/*Подтверждение неисправности,,,,,,,,
24-41-00-860-801,4/А,Произведите подключение к самолёту наземного источника электрического питания,24-20-00-810-873-4,Подключение к самолёту наземного источника электрического питания,1,,,
24-20-00-810-873-4-Б,4/Б,"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-873-4,Проверка наличия (отсутствия) признаков неисправности,2,Неисправность обнаружена / Неисправность не обнаружена,,
24-41-00-860-802,4/В,Произведите отключение от самолёта наземного источника электрического питания,24-20-00-810-873-4,Отключение от самолёта наземного источника электрического питания,3,,,
,,,,,,,,
/*Поиск и устранение неисправности:,,,,,,,,
24-20-00-810-873-5-А,5/А,Произведите проверку и ремонт электропроводки между привод‐генератором левым (15‐X242) и левой шиной переменного тока L AC BUS,24-20-00-810-873-5,Проверка и ремонт электропроводки между привод‐генератором левым (15‐X242) и левой шиной переменного тока L AC BUS,,,,Электропроводка
,,,,,,,,
/*Подтверждение устранения неисправности,,,,,,,,
24-20-00-810-873-4,6/А,"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-873-6,Проверка наличия (отсутствия) признаков неисправности,,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
"/*Срабатывание защиты от превышения тока генератора левого двигателя, вызванное отказом цепи контроля тока ",,,,,,,,
/*Подтверждение неисправности,,,,,,,,
24-22-00-710-801-15,4/А,Произведите контроль работоспособности привод‐генератора левого (15‐Х242),24-20-00-810-874-4,Контроль работоспособности привод‐генератора левого (15‐Х242),1,,,
24-20-00-810-874-4-А-1,4/А/(1),"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-874-4,Проверка наличия (отсутствия) признаков неисправности,2,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Поиск и устранение неисправности:,,,,,,,,
24-22-01-900-801-L,5/А,Произведите замену блока управления генератором левого (6‐Х242),24-20-00-810-874-5,Демонтаж и монтаж блока управления генератором левым (6‐X242),,,,Блок управления генератором левый (6-X242)
,,,,,,,,
/*Подтверждение устранения неисправности,,,,,,,,
24-20-00-810-874-4,6/А,"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-874-6,Проверка наличия (отсутствия) признаков неисправности,,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
"/*Срабатывание защиты от превышения тока генератора левого двигателя, вызванное отказом шины ",,,,,,,,
/*Подтверждение неисправности,,,,,,,,
24-22-00-710-801-15,4/А,Произведите контроль работоспособности привод‐генератора левого (15‐Х242),24-20-00-810-875-4,Контроль работоспособности привод‐генератора левого (15‐Х242),1,,,
24-20-00-810-875-4-А-1,4/А/(1),"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-875-4,Проверка наличия (отсутствия) признаков неисправности,2,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Поиск и устранение неисправности:,,,,,,,,
24-20-00-810-875-5-А,5/А,Выполните блок работ 5/А,24-20-00-810-875-5,Блок работ 5/А,,,,Отказ основной шины
24-20-00-810-875-5-АА,5/А,Произведите проверку распределительного устройства переменного тока (46‐X245),24-20-00-810-875-5-А,Проверка распределительного устройства переменного тока (46‐X245),1,,,Отказ основной шины
24-20-00-810-875-5-А-1,5/А/(1),Выполните визуальный осмотр распределительного устройства переменного тока (46‐X245) на наличие следов возникновения КЗ (оплавление или выгорание компонентов и проводов распределительного устройства),24-20-00-810-875-5-А,Визуальный осмотр распределительного устройства переменного тока (46‐X245) на наличие следов возникновения КЗ (оплавление или выгорание компонентов и проводов распределительного устройства),2,Имеются следы возникновения КЗ / Отсутствуют следы возникновения КЗ,,Отказ основной шины
24-20-00-810-875-5-А-1-А,5/А/(1)/(а)/-,Замените поврежденные участки электропроводки (фидера) и поврежденные компоненты,24-20-00-810-875-5-А,Замена поврежденных участков электропроводки (фидера) и поврежденные компоненты,3,,Имеются следы возникновения КЗ,Отказ основной шины
24-20-00-810-875-5-Б,5/Б,Выполните блок работ 5/Б,24-20-00-810-875-5,Блок работ 5/Б,,,,Отказ основной шины
24-20-00-810-875-5-Б-1,5/Б/-,Выполните проверку и ремонт электропроводки на наличие КЗ между привод‐генератором левым (15‐X242) и контактором К5‐26,24-20-00-810-875-5-Б,Проверка и ремонт электропроводки на наличие КЗ между привод‐генератором левым (15‐X242) и контактором К5‐26,1,,,Отказ основной шины
24-20-00-810-875-5-Б-2,5/Б/-,Выполните проверку и ремонт электропроводки на наличие КЗ между блоком управления генератором левым (6‐X242) и контактором К5‐26,24-20-00-810-875-5-Б,Проверка и ремонт электропроводки на наличие КЗ между блоком управления генератором левым (6‐X242) и контактором К5‐26,2,,,Отказ основной шины
24-20-00-810-875-5-Б-3,5/Б/-,Выполните проверку и ремонт электропроводки на наличие КЗ между контактором К5‐26 и следующими АЗС распределительного устройства переменного тока (46‐X245),24-20-00-810-875-5-Б,Проверка и ремонт электропроводки на наличие КЗ между контактором К5‐26 и следующими АЗС распределительного устройства переменного тока (46‐X245),3,,,Отказ основной шины
24-22-01-900-801-L,5/Б/(1)/-,Выполните замену блока управления генератором левого (6‐Х242),24-20-00-810-875-5,Демонтаж и монтаж блока управления генератором левым (6‐X242),,,,Отказ основной шины
,,,,,,,,
/*Подтверждение устранения неисправности,,,,,,,,
24-20-00-810-875-4,6/А,"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-875-6,Проверка наличия (отсутствия) признаков неисправности,,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Неправильный порядок чередования фаз генератора левого двигателя,,,,,,,,
/*Подтверждение неисправности,,,,,,,,
24-22-00-710-801-15,4/А,Произведите контроль работоспособности привод‐генератора левого (15‐Х242),24-20-00-810-876-4,Контроль работоспособности привод‐генератора левого (15‐Х242),1,,,
24-20-00-810-876-4-А-1,4/А/(1),"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-876-4,Проверка наличия (отсутствия) признаков неисправности,2,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Поиск и устранение неисправности:,,,,,,,,
24-20-00-810-876-5-А,5/А,Выполните блок работ 5/А,24-20-00-810-876-5,Блок работ 5/А,,,,
24-20-00-810-876-5-АА,5/А,"Произведите осмотр силовых контактов T1, T2, T3 привода‐генератора левого (15‐X242), а так же силовых контактов EX12‐A, EX12‐B, EX12‐C распределительного устройства DB 115/200V N1 (46‐X245) на предмет корректности монтажа кабельной сети ",24-20-00-810-876-5-А,"Осмотр силовых контактов T1, T2, T3 привода‐генератора левого (15‐X242), а так же силовых контактов EX12‐A, EX12‐B, EX12‐C распределительного устройства DB 115/200V N1 (46‐X245) на предмет корректности монтажа кабельной сети ",1,,,Электропроводка
24-20-00-810-876-5-Б,5/Б,Произведите осмотр электрического разъема x1 блока управления генератором левым (6‐X242) и X3 распределительного устройства DB 115/200V N1 (46‐X245) на предмет корректности монтажа кабельной сети,24-20-00-810-876-5-А,Осмотр электрического разъема x1 блока управления генератором левым (6‐X242) и X3 распределительного устройства DB 115/200V N1 (46‐X245) на предмет корректности монтажа кабельной сети,2,,,Электропроводка
24-20-00-810-876-5-ВВ,5/В,Произведите проверку и ремонт электропроводки между блоком управления генератором левым (6‐X242) и распределительным устройством DB 115/200V N1 (46‐X245),24-20-00-810-876-5-А,Проверка и ремонт электропроводки между блоком управления генератором левым (6‐X242) и распределительным устройством DB 115/200V N1 (46‐X245),3,,,Электропроводка
24-20-00-810-876-5-В-1,5/В,Произведите проверку и ремонт электропроводки между привод‐генератором левым (15‐X242) и распределительным устройством DB 115/200V N1 (46‐X245),24-20-00-810-876-5-А,Проверка и ремонт электропроводки между привод‐генератором левым (15‐X242) и распределительным устройством DB 115/200V N1 (46‐X245),4,,,Электропроводка
24-22-01-900-801-L,5/В/(1)/-,Выполните замену блока управления генератором левого (6‐Х242),24-20-00-810-876-5,Демонтаж и монтаж блока управления генератором левым (6‐X242),,,,Блок управления генератором левый (6-X242)
,,,,,,,,
/*Подтверждение устранения неисправности,,,,,,,,
24-20-00-810-876-4,6/А,"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-876-6,Проверка наличия (отсутствия) признаков неисправности,,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отказ сервоклапана привод‐генератора левого двигателя,,,,,,,,
/*Подтверждение неисправности,,,,,,,,
24-22-00-710-801-15,4/А,Произведите контроль работоспособности привод‐генератора левого (15‐Х242),24-20-00-810-877-4,Контроль работоспособности привод‐генератора левого (15‐Х242),1,,,
24-20-00-810-877-4-А-1,4/А/(1),"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-877-4,Проверка наличия (отсутствия) признаков неисправности,2,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Поиск и устранение неисправности:,,,,,,,,
24-21-01-900-801-L,5/А,Произведите замену привод‐генератора левого (15‐X242),24-20-00-810-877-5,Демонтаж и монтаж привод‐генератора (15‐X242),,,,Привод-генератор левый (15-X242)
24-22-01-900-801-L,5/В/(1)/-,Выполните замену блока управления генератором левого (6‐Х242),24-20-00-810-877-5,Демонтаж и монтаж блока управления генератором левым (6‐X242),,,,Блок управления генератором левый (6-X242)
,,,,,,,,
/*Подтверждение устранения неисправности,,,,,,,,
24-20-00-810-877-4,6/А,"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-877-6,Проверка наличия (отсутствия) признаков неисправности,,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Срабатывание ручного расцепления привод‐генератора и коробки приводов левого двигателя,,,,,,,,
/*Подтверждение неисправности,,,,,,,,
24-22-00-710-801-15,4/А,Произведите контроль работоспособности привод‐генератора левого (15‐Х242),24-20-00-810-878-4,Контроль работоспособности привод‐генератора левого (15‐Х242),1,,,
24-20-00-810-878-4-А-1,4/А/(1),"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-878-4,Проверка наличия (отсутствия) признаков неисправности,2,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Поиск и устранение неисправности:,,,,,,,,
24-21-01-900-801-L,5/А,Произведите замену привод‐генератора левого (15‐X242),24-20-00-810-878-5,Демонтаж и монтаж привод‐генератора (15‐X242),,,,Отключен вручную привод-генератор левый (15-X242)
,,,,,,,,
/*Подтверждение устранения неисправности,,,,,,,,
24-20-00-810-878-4,6/А,"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-878-6,Проверка наличия (отсутствия) признаков неисправности,,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отказ при ручном расцеплении привод‐генератора и коробки приводов левого двигателя,,,,,,,,
/*Подтверждение неисправности,,,,,,,,
24-22-00-710-801,4/А,Произведите контроль работоспособности основной системы переменного тока,24-20-00-810-879-4,Контроль работоспособности основной системы переменного тока,1,,,
24-20-00-810-879-4-А-1,4/А/(1),"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-879-4,Проверка наличия (отсутствия) признаков неисправности,2,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Поиск и устранение неисправности:,,,,,,,,
24-20-00-810-879-5-A,5/А,Произведите проверку и ремонт электропроводки между реле К1‐11 расцепителя привод‐генератора левого (15‐X242) и блоком управления генератором левым (6‐X242),24-20-00-810-879-5,Проверка и ремонт электропроводки между реле К1‐11 расцепителя привод‐генератора левого (15‐X242) и блоком управления генератором левым (6‐X242),,,,Электропроводка
24-20-00-810-879-5-A-1,5/А/(1)/-,Произведите замену реле K1‐11 привод‐генератора левого (15‐X242),24-20-00-810-879-5,Замена реле K1‐11 привод‐генератора левого (15‐X242),,,,Разрыв цепи реле расцепителя K1-11 привод-генератора левого (15-X242)
24-21-01-900-801-L,5/А/(1)/(а)/-,Произведите замену привод‐генератора левого (15‐X242),24-20-00-810-879-5,Демонтаж и монтаж привод‐генератора (15‐X242),,,,Привод-генератор левый (15-X242)
24-22-01-900-801-L,5/А/(1)/(б)/-,Выполните замену блока управления генератором левого (6‐Х242),24-20-00-810-879-5,Демонтаж и монтаж блока управления генератором левым (6‐X242),,,,Блок управления генератором левый (6-X242)
,,,,,,,,
/*Подтверждение устранения неисправности,,,,,,,,
24-20-00-810-879-4,6/А,"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-879-6,Проверка наличия (отсутствия) признаков неисправности,,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
"/*Срабатывание защиты от обрыва фаз генератора левого двигателя, вызванное обрывом фазы A ",,,,,,,,
/*Подтверждение неисправности,,,,,,,,
24-20-00-810-880-4-А,4/А,"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-880-4,Проверка наличия (отсутствия) признаков неисправности,2,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Поиск и устранение неисправности:,,,,,,,,
24-20-00-810-880-5-A,5/А,Произведите проверку и ремонт электропроводки между контактом привод‐генератора левого (15‐X242) и левой шиной переменного тока,24-20-00-810-880-5,Проверка и ремонт электропроводки между контактом привод‐генератора левого (15‐X242) и левой шиной переменного тока,,,,Электропроводка
,,,,,,,,
/*Подтверждение устранения неисправности,,,,,,,,
24-20-00-810-880-4,6/А,"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-880-6,Проверка наличия (отсутствия) признаков неисправности,,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
"/*Срабатывание защиты от обрыва фаз генератора левого двигателя, вызванное обрывом фазы B ",,,,,,,,
/*Подтверждение неисправности,,,,,,,,
24-20-00-810-881-4-А,4/А,"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-881-4,Проверка наличия (отсутствия) признаков неисправности,2,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Поиск и устранение неисправности:,,,,,,,,
24-20-00-810-881-5-A,5/А,Произведите проверку и ремонт электропроводки между контактом привод‐генератора левого (15‐X242) и левой шиной переменного тока,24-20-00-810-881-5,Проверка и ремонт электропроводки между контактом привод‐генератора левого (15‐X242) и левой шиной переменного тока,,,,Электропроводка
,,,,,,,,
/*Подтверждение устранения неисправности,,,,,,,,
24-20-00-810-881-4,6/А,"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-881-6,Проверка наличия (отсутствия) признаков неисправности,,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
"/*Срабатывание защиты от обрыва фаз генератора левого двигателя, вызванное обрывом фазы C ",,,,,,,,
/*Подтверждение неисправности,,,,,,,,
24-20-00-810-882-4-А,4/А,"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-882-4,Проверка наличия (отсутствия) признаков неисправности,2,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Поиск и устранение неисправности:,,,,,,,,
24-20-00-810-882-5-A,5/А,Произведите проверку и ремонт электропроводки между контактом привод‐генератора левого (15‐X242) и левой шиной переменного тока,24-20-00-810-882-5,Проверка и ремонт электропроводки между контактом привод‐генератора левого (15‐X242) и левой шиной переменного тока,,,,Электропроводка
,,,,,,,,
/*Подтверждение устранения неисправности,,,,,,,,
24-20-00-810-882-4,6/А,"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-882-6,Проверка наличия (отсутствия) признаков неисправности,,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
"/*""Холодный старт"" блока управления генератором левого двигателя после прерывания питания блока ",,,,,,,,
/*Подтверждение неисправности,,,,,,,,
24-22-00-710-801-15,4/А,Произведите контроль работоспособности привод‐генератора левого (15‐Х242),24-20-00-810-883-4,Контроль работоспособности привод‐генератора левого (15‐Х242),1,,,
24-20-00-810-883-4-А-1,4/А/(1),"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-883-4,Проверка наличия (отсутствия) признаков неисправности,2,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Поиск и устранение неисправности:,,,,,,,,
24-22-01-900-801-L,5/А,Произведите замену блока управления генератором левого (6‐Х242),24-20-00-810-883-5,Демонтаж и монтаж блока управления генератором левым (6‐X242),,,,Блок управления генератором левый (6-Х242)
,,,,,,,,
/*Подтверждение устранения неисправности,,,,,,,,
24-20-00-810-883-4,6/А,"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-883-6,Проверка наличия (отсутствия) признаков неисправности,,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Неисправность внутренней цепи блока управления генератором левого двигателя (цепь определения состояния сигнального контакта контактора К1),,,,,,,,
/*Подтверждение неисправности,,,,,,,,
24-22-00-710-801-15,4/А,Произведите контроль работоспособности привод‐генератора левого (15‐Х242),24-20-00-810-884-4,Контроль работоспособности привод‐генератора левого (15‐Х242),1,,,
24-20-00-810-884-4-А-1,4/А/(1),"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-884-4,Проверка наличия (отсутствия) признаков неисправности,2,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Поиск и устранение неисправности:,,,,,,,,
24-20-00-810-884-5-A,,Произведите проверку и ремонт электропроводки между: контактором К5‐26 (K1) и блоком управления генератором левым (6‐Х242),24-20-00-810-884-5,Проверка и ремонт электропроводки между: контактором К5‐26 (K1) и блоком управления генератором левым (6‐Х242),,,,Электропроводка
24-22-01-900-801-L,5/А/(1)/-,Произведите замену блока управления генератором левого (6‐Х242),24-20-00-810-884-5,Демонтаж и монтаж блока управления генератором левым (6‐X242),,,,Блок управления генератором левый (6-Х242)
,,,,,,,,
/*Подтверждение устранения неисправности,,,,,,,,
24-20-00-810-884-4,6/А,"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-884-6,Проверка наличия (отсутствия) признаков неисправности,,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Неисправность внутренней цепи блока управления генератором левого двигателя (цепь определения состояния сигнального контакта контактора К41),,,,,,,,
/*Подтверждение неисправности,,,,,,,,
24-22-00-710-801-15,4/А,Произведите контроль работоспособности привод‐генератора левого (15‐Х242),24-20-00-810-885-4,Контроль работоспособности привод‐генератора левого (15‐Х242),1,,,
24-20-00-810-885-4-А-1,4/А/(1),"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-885-4,Проверка наличия (отсутствия) признаков неисправности,2,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Поиск и устранение неисправности:,,,,,,,,
24-20-00-810-885-5-A,,Произведите проверку и ремонт электропроводки между контактором К6‐20 (K41) и блоком управления генератором левым (6‐X242),24-20-00-810-885-5,Проверка и ремонт электропроводки между контактором К6‐20 (K41) и блоком управления генератором левым (6‐X242),,,,Электропроводка
24-22-01-900-801-L,5/А/(1)/-,Произведите замену блока управления генератором левого (6‐Х242),24-20-00-810-885-5,Демонтаж и монтаж блока управления генератором левым (6‐X242),,,,Блок управления генератором левый (6-Х242)
,,,,,,,,
/*Подтверждение устранения неисправности,,,,,,,,
24-20-00-810-885-4,6/А,"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-885-6,Проверка наличия (отсутствия) признаков неисправности,,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Неисправность внутренней цепи блока управления генератором левого двигателя (цепь определения состояния сигнального контакта контактора К42),,,,,,,,
/*Подтверждение неисправности,,,,,,,,
24-22-00-710-801-15,4/А,Произведите контроль работоспособности привод‐генератора левого (15‐Х242),24-20-00-810-886-4,Контроль работоспособности привод‐генератора левого (15‐Х242),1,,,
24-20-00-810-886-4-А-1,4/А/(1),"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-886-4,Проверка наличия (отсутствия) признаков неисправности,2,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Поиск и устранение неисправности:,,,,,,,,
24-20-00-810-886-5-A,,Произведите проверку и ремонт электропроводки между блоком управления генератором левым (6‐X242) и контактором К6‐27 (K42),24-20-00-810-886-5,Проверка и ремонт электропроводки между блоком управления генератором левым (6‐X242) и контактором К6‐27 (K42),,,,Электропроводка
24-22-01-900-801-L,5/А/(1)/-,Произведите замену блока управления генератором левого (6‐Х242),24-20-00-810-886-5,Демонтаж и монтаж блока управления генератором левым (6‐X242),,,,Блок управления генератором левый (6-Х242)
,,,,,,,,
/*Подтверждение устранения неисправности,,,,,,,,
24-20-00-810-886-4,6/А,"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-886-6,Проверка наличия (отсутствия) признаков неисправности,,,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Неисправность внутренней цепи блока управления генератором левого двигателя (цепь определения состояния сигнального контакта контактора К2),,,,,,,,
/*Подтверждение неисправности,,,,,,,,
24-22-00-710-801-15,4/А,Произведите контроль работоспособности привод‐генератора левого (15‐Х242),24-20-00-810-887-4,Контроль работоспособности привод‐генератора левого (15‐Х242),1,,,
24-20-00-810-887-4-А-1,4/А/(1),"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-887-4,Проверка наличия (отсутствия) признаков неисправности,2,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Поиск и устранение неисправности:,,,,,,,,
24-20-00-810-887-5-A,,Произведите проверку и ремонт электропроводки между блоком управления генератором левым (6‐X242) и контактором К6‐28 (K2),24-20-00-810-887-5,Проверка и ремонт электропроводки между блоком управления генератором левым (6‐X242) и контактором К6‐28 (K2),,,,Электропроводка
24-22-01-900-801-L,5/А/(1)/-,Произведите замену блока управления генератором левого (6‐Х242),24-20-00-810-887-5,Демонтаж и монтаж блока управления генератором левым (6‐X242),,,,Блок управления генератором левый (6-Х242)
,,,,,,,,
/*Подтверждение устранения неисправности,,,,,,,,
24-20-00-810-887-4,6/А,"Убедитесь в том, что имеются (отсутствуют) признаки неисправности ",24-20-00-810-887-6,Проверка наличия (отсутствия) признаков неисправности,,,,
